,EW,SR,IVOL
2012-09-28,0.00020593133371337474,-0.005754919256596338,0.0004255321785263061
2012-10-01,0.000865491019792246,0.0009665918593118395,0.0009473024713757592
2012-10-02,0.00035483591567831433,0.0006443612099280483,0.0003510443333198763
2012-10-03,0.0053657108196789715,0.00543075008287382,0.005603891317344157
2012-10-04,0.005052527368447843,0.006088437935604131,0.005268837775597975
2012-10-05,-0.0012217302707891312,-0.001978409735032981,-0.0012714446106117225
2012-10-08,-0.0034929320046263924,-0.004953144271677373,-0.0036420332540197924
2012-10-09,-0.0030438993525306263,-0.00456538371707236,-0.003068157869294312
2012-10-10,-0.0025586414732227253,-0.0007314715694425507,-0.002657108747068664
2012-10-11,-0.0015752245242520824,-0.002688717326995775,-0.0016661218261658933
2012-10-12,-0.00042257781006373196,0.0007357792736108611,-0.0004474932417561851
2012-10-15,0.003104847418659651,0.003958666477329383,0.0032088008038710656
2012-10-16,0.0033678523347362085,0.005112753502708089,0.003442217222472313
2012-10-17,0.001857026805150888,0.0004702537754166007,0.0019710227327753085
2012-10-18,-0.0023554492828841995,-0.0035117499740915095,-0.002442483179974509
2012-10-19,-0.005375148858764911,-0.008320764273840634,-0.005475535325982744
2012-10-22,0.002201323661548127,0.002701109935670208,0.002192401163313332
2012-10-23,-0.00443072630462394,-0.006706593311798363,-0.004645464955360855
2012-10-24,-0.0007922514386088557,-0.0006121603187237496,-0.0008279459865060606
2012-10-25,-5.4206271417273045e-05,-0.00018302298503114554,-8.811277610670294e-05
2012-10-26,-0.0010644621292410443,-0.0013442966075523362,-0.0011277418384929305
2012-10-31,0.0008858423931798952,0.0010341329146653366,0.0008770942719199406
2012-11-01,0.004995106435585345,0.0065412242155025386,0.005108885484935513
2012-11-02,-0.0027229846586691786,-0.0035006102775096293,-0.0027421223439224596
2012-11-05,-0.0006051181129069372,-0.0006279674178719236,-0.0006709707261147221
2012-11-06,0.0028042530696685093,0.003746859916148923,0.0029312200594791425
2012-11-07,-0.010919939533935354,-0.014230255438937998,-0.011370060045500105
2012-11-08,-0.005580151291799585,-0.007296005805666966,-0.005752357208805693
2012-11-09,-0.0024060626105083488,-5.777671177128758e-05,-0.002568337351338502
2012-11-12,0.0022067144104591673,-0.0008790931464552223,0.0024976511085475447
2012-11-13,-0.002494758258188601,-0.0021138377386827134,-0.002421535169555579
2012-11-14,-0.004149863210368989,-0.004908759734944179,-0.004399421130570447
2012-11-15,-0.00047676551720681403,-0.0007839780443222511,-0.0004901731125343305
2012-11-16,0.0009818026483164287,0.0011629353188413502,0.001020112290605093
2012-11-19,0.008067200151262324,0.008319350982453245,0.008623590162115776
2012-11-20,4.419885266722349e-05,0.0007296602819798346,4.964240626914474e-05
2012-11-21,-0.002736528557347882,0.0012197350637361206,-0.00288143603597914
2012-11-23,0.004191151821912802,0.004928046320869153,0.004434664992471122
2012-11-26,-0.0062815654416304555,-0.0009522975164762899,-0.0067772455050524654
2012-11-27,-0.0015835470835363484,-0.001055156088172421,-0.0016161538987238021
2012-11-28,0.0038510561452774358,0.005869824981634348,0.004001848787338663
2012-11-29,0.0008894366539624599,0.004282692213126854,0.00087532033683119
2012-11-30,-0.0010349479687918797,0.0008649723597161751,-0.0011000608492927363
2012-12-03,0.0004615808351210985,-0.002223041878108301,0.0005492596466952239
